what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1411679391578
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1411679398875
activated,editor,com.android.ide.eclipse.adt,22.0.5.v201307292155--757759,"com.android.ide.eclipse.editors.CommonXmlEditor",1411679405255
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1411679464241
activated,editor,com.android.ide.eclipse.adt,22.0.5.v201307292155--757759,"com.android.ide.eclipse.editors.CommonXmlEditor",1411679465269
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1411679466241
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1411679467373
started,bundle,org.eclipse.pde.api.tools,1.0.301.v20111129-2053,"org.eclipse.pde.api.tools",1411679505249
started,bundle,org.eclipse.pde.api.tools.ui,1.0.301.v20110803_r371,"org.eclipse.pde.api.tools.ui",1411679505250
started,bundle,org.eclipse.mylyn.java.ui,3.7.1.v20120425-0100,"org.eclipse.mylyn.java.ui",1411679505266
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1411679538310
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1411679548208
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.TaskList",1411679551856
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1411679553575
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1411679561554
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411679565806
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411679573354
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1411679573386
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411679580592
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411679581298
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411679581941
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411679582755
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411679586081
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411679821453
activated,editor,com.android.ide.eclipse.adt,22.0.5.v201307292155--757759,"com.android.ide.eclipse.editors.CommonXmlEditor",1411679823915
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1411679850632
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1411679871917
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411679874304
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411679875817
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1411679875846
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1411679878873
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411679881772
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411679888529
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1411679888560
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1411679895709
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1411679899992
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1411679903337
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411679907042
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411679912288
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1411679912319
activated,editor,com.android.ide.eclipse.adt,22.0.5.v201307292155--757759,"com.android.ide.eclipse.editors.CommonXmlEditor",1411679914659
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1411679933209
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1411679954048
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1411679967360
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1411679969426
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1411679976777
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411679980219
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411679996704
activated,editor,com.android.ide.eclipse.adt,22.0.5.v201307292155--757759,"com.android.ide.eclipse.editors.CommonXmlEditor",1411679996747
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411680130316
